"name","id","accuracy","power","pp","priority","target","type","description","damageclass","generation"
"roar","46","","","20","-6","selected-pokemon","normal","The target is scared off, and a different Pokémon is
dragged out. In the wild, this ends a battle against a
single Pokémon.","status","generation-i"
"sing","47","55","","15","0","selected-pokemon","normal","A soothing lullaby is sung in a calming voice that
puts the target into a deep slumber.","status","generation-i"
"supersonic","48","55","","20","0","selected-pokemon","normal","The user generates odd sound waves from
its body. It may confuse the target.","status","generation-i"
"sonic-boom","49","90","","20","0","selected-pokemon","normal","The target is hit with a destructive shock wave that
always inflicts 20 HP damage.","special","generation-i"
"disable","50","100","","20","0","selected-pokemon","normal","For four turns, this move prevents the target from
using the move it last used.","status","generation-i"
"acid","51","100","40","30","0","all-opponents","poison","The opposing team is attacked with a spray
of harsh acid. The acid may also lower
the targets’ Sp. Def stats.","special","generation-i"
"ember","52","100","40","25","0","selected-pokemon","fire","The target is attacked with small flames. This may
also leave the target with a burn.","special","generation-i"
"flamethrower","53","100","90","15","0","selected-pokemon","fire","The target is scorched with an intense blast of fire.
This may also leave the target with a burn.","special","generation-i"
"mist","54","","","30","0","users-field","ice","The user cloaks itself and its allies in a white mist
that prevents any of their stats from being lowered
for five turns.","status","generation-i"
"water-gun","55","100","40","25","0","selected-pokemon","water","The foe is struck
with a lot of water
expelled forcibly
from the mouth.","special","generation-i"
"hydro-pump","56","80","110","5","0","selected-pokemon","water","The target is blasted by a huge volume of water
launched under great pressure.","special","generation-i"
"surf","57","100","90","15","0","all-other-pokemon","water","The user attacks everything around it by
swamping its surroundings with a giant wave.
This can also be used for crossing water.","special","generation-i"
"ice-beam","58","100","90","10","0","selected-pokemon","ice","The target is struck with an icy-cold beam of energy.
This may also leave the target frozen.","special","generation-i"
"blizzard","59","70","110","5","0","all-opponents","ice","A howling blizzard is summoned to strike opposing
Pokémon. This may also leave the opposing
Pokémon frozen.","special","generation-i"
"psybeam","60","100","65","20","0","selected-pokemon","psychic","The target is attacked with a peculiar ray. This may
also leave the target confused.","special","generation-i"
"bubble-beam","61","100","65","20","0","selected-pokemon","water","A spray of bubbles is forcefully ejected
at the opposing team. It may also lower
their Speed stats.","special","generation-i"
"aurora-beam","62","100","65","20","0","selected-pokemon","ice","The target is hit with a rainbow-colored beam.
This may also lower the target’s Attack stat.","special","generation-i"
"hyper-beam","63","90","150","5","0","selected-pokemon","normal","The target is attacked with a powerful
beam. The user must rest on the next
turn to regain its energy.","special","generation-i"
"peck","64","100","35","35","0","selected-pokemon","flying","The target is jabbed with a sharply pointed beak
or horn.","physical","generation-i"
"drill-peck","65","100","80","20","0","selected-pokemon","flying","A corkscrewing
attack with the
sharp beak acting
as a drill.
","physical","generation-i"
"submission","66","80","80","20","0","selected-pokemon","fighting","The user grabs the target and recklessly dives for
the ground. This also damages the user a little.","physical","generation-i"
"low-kick","67","100","","20","0","selected-pokemon","fighting","A powerful low kick that makes the target fall over.
The heavier the target, the greater the
move’s power.","physical","generation-i"
"counter","68","100","","20","-5","specific-move","fighting","A retaliation move that counters any physical attack,
inflicting double the damage taken.","physical","generation-i"
"seismic-toss","69","100","","20","0","selected-pokemon","fighting","The target is thrown using the power of gravity.
It inflicts damage equal to the user’s level.","physical","generation-i"
"strength","70","100","80","15","0","selected-pokemon","normal","The target is slugged with a punch thrown
at maximum power. This can also be used
to move heavy boulders.","physical","generation-i"
"absorb","71","100","20","25","0","selected-pokemon","grass","A nutrient-draining attack. The user’s HP is restored
by half the damage taken by the target.","special","generation-i"
"mega-drain","72","100","40","15","0","selected-pokemon","grass","A nutrient-draining attack. The user’s HP is restored
by half the damage taken by the target.","special","generation-i"
"leech-seed","73","90","","10","0","selected-pokemon","grass","A seed is planted on
the foe. It steals
some HP from the foe
to heal the user on
every turn.","status","generation-i"
"growth","74","","","20","0","user","normal","The user’s body is
forced to grow all at
once. It raises the
Sp. Atk stat.
","status","generation-i"
"razor-leaf","75","95","55","25","0","all-opponents","grass","Sharp-edged leaves are launched to slash at the
opposing Pokémon. Critical hits land more easily.","physical","generation-i"
"solar-beam","76","100","120","10","0","selected-pokemon","grass","In this two-turn attack, the user gathers light, then
blasts a bundled beam on the next turn.","special","generation-i"
"poison-powder","77","75","","35","0","selected-pokemon","poison","The user scatters a cloud of poisonous
dust on the target. This may also poison
the target.","status","generation-i"
"stun-spore","78","75","","30","0","selected-pokemon","grass","The user scatters a cloud of paralyzing
powder. It may leave the target
with paralysis.","status","generation-i"
"sleep-powder","79","75","","15","0","selected-pokemon","grass","The user scatters a big cloud of sleep-inducing dust
around the target.","status","generation-i"
"petal-dance","80","100","120","10","0","random-opponent","grass","The user attacks the target by scattering petals for
two to three turns. The user then becomes confused.","special","generation-i"
"string-shot","81","95","","40","0","all-opponents","bug","The opposing Pokémon are bound with silk blown
from the user’s mouth that harshly lowers the
Speed stat.","status","generation-i"
"dragon-rage","82","100","","10","0","selected-pokemon","dragon","This attack hits the target with a shock wave of
pure rage. This attack always inflicts 40 HP damage.","special","generation-i"
"fire-spin","83","85","35","15","0","selected-pokemon","fire","The target becomes trapped within a fierce vortex
of fire that rages for four to five turns.","special","generation-i"
"thunder-shock","84","100","40","30","0","selected-pokemon","electric","A jolt of electricity crashes down on the target to
inflict damage. This may also leave the target
with paralysis.","special","generation-i"
"thunderbolt","85","100","90","15","0","selected-pokemon","electric","A strong electric blast crashes down on the target.
This may also leave the target with paralysis.","special","generation-i"
"thunder-wave","86","90","","20","0","selected-pokemon","electric","A weak electric charge is launched at
the target. It causes paralysis if it hits.","status","generation-i"
"thunder","87","70","110","10","0","selected-pokemon","electric","A wicked thunderbolt is dropped on the target to
inflict damage. This may also leave the target
with paralysis.","special","generation-i"
"rock-throw","88","90","50","15","0","selected-pokemon","rock","The user picks up and throws a small rock at the
target to attack.","physical","generation-i"
"earthquake","89","100","100","10","0","all-other-pokemon","ground","The user sets off an
earthquake that hits
all the Pokémon in
the battle.
","physical","generation-i"
"fissure","90","30","","5","0","selected-pokemon","ground","The user opens up a fissure in the ground and drops
the target in. The target faints instantly if this
attack hits.","physical","generation-i"
"dig","91","100","80","10","0","selected-pokemon","ground","The user burrows, then attacks
on the second turn.
It can also be used to exit dungeons.","physical","generation-i"
"toxic","92","90","","10","0","selected-pokemon","poison","A move that leaves the target badly poisoned.
Its poison damage worsens every turn.","status","generation-i"
"confusion","93","100","50","25","0","selected-pokemon","psychic","The target is hit by a weak telekinetic
force. It may also leave the
target confused.","special","generation-i"
"psychic","94","100","90","10","0","selected-pokemon","psychic","The target is hit by a strong telekinetic force.
This may also lower the target’s Sp. Def stat.","special","generation-i"
"hypnosis","95","60","","20","0","selected-pokemon","psychic","The user employs hypnotic suggestion to make the
target fall into a deep sleep.","status","generation-i"
"meditate","96","","","40","0","user","psychic","The user meditates to awaken the power deep
within its body and raise its Attack stat.","status","generation-i"
"agility","97","","","30","0","user","psychic","The user relaxes and lightens its body to move
faster. This sharply raises the Speed stat.","status","generation-i"
"quick-attack","98","100","40","30","1","selected-pokemon","normal","The user lunges at the target at a speed that makes
it almost invisible. This move always goes first.","physical","generation-i"
"rage","99","100","20","20","0","selected-pokemon","normal","As long as this move is in use, the power of rage
raises the Attack stat each time the user is hit
in battle.","physical","generation-i"
"teleport","100","","","20","0","user","psychic","Use it to flee from
any wild Pokémon.
It may also be used
to warp to the last
Poké Center visited.","status","generation-i"
"night-shade","101","100","","15","0","selected-pokemon","ghost","The user makes the target see a frightening mirage.
It inflicts damage equal to the user’s level.","special","generation-i"
"mimic","102","","","10","0","selected-pokemon","normal","The user copies the target’s last move. The move
can be used during battle until the Pokémon is
switched out.","status","generation-i"
"screech","103","85","","40","0","selected-pokemon","normal","An earsplitting
screech is emitted to
sharply reduce the
foe’s Defense stat.
","status","generation-i"
"double-team","104","","","15","0","user","normal","By moving rapidly, the
user makes illusory
copies of itself to
raise its evasiveness.
","status","generation-i"
"recover","105","","","10","0","user","normal","A self-healing move.
The user restores its
own HP by up to half
of its max HP.
","status","generation-i"
"harden","106","","","30","0","user","normal","The user stiffens all
the muscles in its
body to raise its
Defense stat.
","status","generation-i"
"minimize","107","","","10","0","user","normal","The user compresses its body to make itself look
smaller, which sharply raises its evasiveness.","status","generation-i"
"smokescreen","108","100","","20","0","selected-pokemon","normal","The user releases an obscuring cloud of smoke or
ink. This lowers the target’s accuracy.","status","generation-i"
"confuse-ray","109","100","","10","0","selected-pokemon","ghost","The target is exposed to a sinister ray that
triggers confusion.","status","generation-i"
"withdraw","110","","","40","0","user","water","The user withdraws
its body into its hard
shell, raising its
Defense stat.
","status","generation-i"
"defense-curl","111","","","40","0","user","normal","The user curls up to
conceal weak spots
and raise its Defense
stat.
","status","generation-i"
"barrier","112","","","20","0","user","psychic","The user throws up a
sturdy wall that
sharply raises its
Defense stat.
","status","generation-i"
"light-screen","113","","","30","0","users-field","psychic","A wondrous wall of light is put up to
suppress damage from special attacks
for five turns.","status","generation-i"
"haze","114","","","30","0","entire-field","ice","The user creates a haze that eliminates every stat
change among all the Pokémon engaged in battle.","status","generation-i"
"reflect","115","","","20","0","users-field","psychic","A wondrous wall of light is put up to
suppress damage from physical attacks
for five turns.","status","generation-i"
"focus-energy","116","","","30","0","user","normal","The user takes a
deep breath and
focuses to raise the
critical-hit ratio of
its attacks.","status","generation-i"
"bide","117","","","10","1","user","normal","The user endures attacks for two turns, then strikes
back to cause double the damage taken.","physical","generation-i"
"metronome","118","","","10","0","user","normal","The user waggles a finger and stimulates its brain
into randomly using nearly any move.","status","generation-i"
"mirror-move","119","","","20","0","selected-pokemon","flying","The user counters
the foe by mimicking
the move last used
by the foe.","status","generation-i"
"self-destruct","120","100","200","5","0","all-other-pokemon","normal","The user attacks everything around it by causing an
explosion. The user faints upon using this move.","physical","generation-i"
"egg-bomb","121","75","100","10","0","selected-pokemon","normal","A large egg is hurled at the target with maximum
force to inflict damage.","physical","generation-i"
"lick","122","100","30","30","0","selected-pokemon","ghost","The target is licked with a long tongue, causing
damage. This may also leave the target
with paralysis.","physical","generation-i"
"smog","123","70","30","20","0","selected-pokemon","poison","The target is attacked with a discharge of filthy
gases. This may also poison the target.","special","generation-i"
"sludge","124","100","65","20","0","selected-pokemon","poison","Unsanitary sludge is hurled at the target. This may
also poison the target.","special","generation-i"
"bone-club","125","85","65","20","0","selected-pokemon","ground","The user clubs the target with a bone. This may also
make the target flinch.","physical","generation-i"
"fire-blast","126","85","110","5","0","selected-pokemon","fire","The target is attacked with an intense blast of
all-consuming fire. This may also leave the target
with a burn.","special","generation-i"
"waterfall","127","100","80","15","0","selected-pokemon","water","The user charges at
the foe rapidly, and
may make it flinch.
It can also be used
to climb a waterfall.","physical","generation-i"
"clamp","128","85","35","15","0","selected-pokemon","water","The target is clamped and squeezed by the user’s
very thick and sturdy shell for four to five turns.","physical","generation-i"
"swift","129","","60","20","0","all-opponents","normal","Star-shaped rays are shot at the opposing Pokémon.
This attack never misses.","special","generation-i"
"skull-bash","130","100","130","10","0","selected-pokemon","normal","The user tucks in its head to raise its Defense
stat on the first turn, then rams the target on the
next turn.","physical","generation-i"
"spike-cannon","131","100","20","15","0","selected-pokemon","normal","Sharp spikes are shot at the target in rapid
succession. They hit two to five times in a row.","physical","generation-i"
"constrict","132","100","10","35","0","selected-pokemon","normal","The target is attacked with long, creeping tentacles,
vines, or the like. This may also lower the target’s 
Speed stat.","physical","generation-i"
"amnesia","133","","","20","0","user","psychic","The user temporarily empties its mind to forget its
concerns. This sharply raises the user’s Sp. Def stat.","status","generation-i"
"kinesis","134","80","","15","0","selected-pokemon","psychic","The user distracts the target by bending a spoon.
This lowers the target’s accuracy.","status","generation-i"
"soft-boiled","135","","","10","0","user","normal","The user restores its own HP
by up to half of its maximum HP.
May also be used in the field to heal HP.","status","generation-i"
"high-jump-kick","136","90","130","10","0","selected-pokemon","fighting","The target is attacked with a knee kick from a jump.
If it misses, the user is hurt instead.","physical","generation-i"
"glare","137","100","","30","0","selected-pokemon","normal","The user intimidates the target with the pattern on
its belly to cause paralysis.","status","generation-i"
"dream-eater","138","100","100","15","0","selected-pokemon","psychic","The user eats the dreams of a sleeping
target. It absorbs half the damage
caused to heal the user’s HP.","special","generation-i"
"poison-gas","139","90","","40","0","all-opponents","poison","A cloud of poison gas is sprayed
in the face of opposing Pokémon.
This may also poison those hit.","status","generation-i"
"barrage","140","85","15","20","0","selected-pokemon","normal","Round objects are hurled at the target to strike two
to five times in a row.","physical","generation-i"
"leech-life","141","100","80","10","0","selected-pokemon","bug","The user drains the target’s blood. The user’s HP is
restored by half the damage taken by the target.","physical","generation-i"
"lovely-kiss","142","75","","10","0","selected-pokemon","normal","With a scary face, the user tries to force a kiss on
the target. If it succeeds, the target falls asleep.","status","generation-i"
"sky-attack","143","90","140","5","0","selected-pokemon","flying","A second-turn attack move where critical hits land
more easily. This may also make the target flinch.","physical","generation-i"
"transform","144","","","10","0","selected-pokemon","normal","The user transforms into a copy of the target right
down to having the same move set.","status","generation-i"
"bubble","145","100","40","30","0","all-opponents","water","A spray of countless bubbles is jetted at
the opposing team. It may also lower the
targets’ Speed stats.","special","generation-i"
"dizzy-punch","146","100","70","10","0","selected-pokemon","normal","The target is hit with rhythmically launched
punches. This may also leave the target confused.","physical","generation-i"
"spore","147","100","","15","0","selected-pokemon","grass","The user scatters
bursts of fine
spores that induce
sleep.","status","generation-i"
"flash","148","100","","20","0","selected-pokemon","normal","The user flashes a bright light that cuts the
target’s accuracy.
It can also be used to illuminate dark caves.","status","generation-i"
"psywave","149","100","","15","0","selected-pokemon","psychic","The target is attacked with an odd 
psychic wave.
The attack varies in intensity.","special","generation-i"
"splash","150","","","40","0","user","normal","The user just flops
and splashes around
without having any
effect.","status","generation-i"
"acid-armor","151","","","20","0","user","poison","The user alters its cellular structure to liquefy itself,
sharply raising its Defense stat.","status","generation-i"
"crabhammer","152","90","100","10","0","selected-pokemon","water","The foe is hammered
with a large pincer.
This move has a high
critical-hit ratio.
","physical","generation-i"
"explosion","153","100","250","5","0","all-other-pokemon","normal","The user attacks everything around it by causing a
tremendous explosion. The user faints upon using
this move.","physical","generation-i"
"fury-swipes","154","80","18","15","0","selected-pokemon","normal","The target is raked with sharp claws or
scythes for two to five times in
quick succession.","physical","generation-i"
"bonemerang","155","90","50","10","0","selected-pokemon","ground","The user throws the bone it holds. The bone loops
around to hit the target twice—coming and going.","physical","generation-i"
"rest","156","","","10","0","user","psychic","The user goes to sleep for two turns. This fully
restores the user’s HP and heals any
status conditions.","status","generation-i"
"rock-slide","157","90","75","10","0","all-opponents","rock","Large boulders are hurled at the opposing Pokémon
to inflict damage. This may also make the opposing
Pokémon flinch.","physical","generation-i"
"hyper-fang","158","90","80","15","0","selected-pokemon","normal","The user bites hard on the target with its sharp
front fangs. This may also make the target flinch.","physical","generation-i"
"sharpen","159","","","30","0","user","normal","The user reduces its polygon count to
make itself more jagged, raising the
Attack stat.","status","generation-i"
"conversion","160","","","30","0","user","normal","The user changes its type to become the same type
as the move at the top of the list of moves it knows.","status","generation-i"
"tri-attack","161","100","80","10","0","selected-pokemon","normal","The user strikes with a simultaneous
three-beam attack. May also burn, freeze,
or leave the target with paralysis.","special","generation-i"
"super-fang","162","90","","10","0","selected-pokemon","normal","The user chomps hard on the target with its sharp
front fangs. This cuts the target’s HP in half.","physical","generation-i"
"slash","163","100","70","20","0","selected-pokemon","normal","The target is attacked with a slash of claws or
blades. Critical hits land more easily.","physical","generation-i"
"substitute","164","","","10","0","user","normal","The user makes a copy of itself using some of its HP.
The copy serves as the user’s decoy.","status","generation-i"
"struggle","165","","50","1","0","random-opponent","normal","An attack that is used in desperation
only if the user has no PP. This also
damages the user a little.","physical","generation-i"
"sketch","166","","","1","0","selected-pokemon","normal","It enables the user to permanently learn the move
last used by the target. Once used,
Sketch disappears.","status","generation-ii"
"triple-kick","167","90","10","10","0","selected-pokemon","fighting","A consecutive three-
kick attack that
becomes more
powerful with each 
successive hit.","physical","generation-ii"
"thief","168","100","60","25","0","selected-pokemon","dark","The user attacks and steals the target’s held item
simultaneously. The user can’t steal anything if it
already holds an item.","physical","generation-ii"
"spider-web","169","","","10","0","selected-pokemon","bug","The user ensnares the target with thin, gooey silk
so it can’t flee from battle.","status","generation-ii"
"mind-reader","170","","","5","0","selected-pokemon","normal","The user senses the target’s movements with its
mind to ensure its next attack does not miss
the target.","status","generation-ii"
"nightmare","171","100","","15","0","selected-pokemon","ghost","A sleeping foe is
shown a nightmare
that inflicts some
damage every turn.
","status","generation-ii"
"flame-wheel","172","100","60","25","0","selected-pokemon","fire","The user cloaks itself in fire and charges at the
target. This may also leave the target with a burn.","physical","generation-ii"
"snore","173","100","50","15","0","selected-pokemon","normal","An attack that can be used only if the
user is asleep. The harsh noise may also
make the target flinch.","special","generation-ii"
"curse","174","","","10","0","specific-move","ghost","A move that works
differently for the
Ghost type than for
all the other types.
","status","generation-ii"
"flail","175","100","","15","0","selected-pokemon","normal","The user flails about aimlessly to attack. The less HP
the user has, the greater the move’s power.","physical","generation-ii"
"conversion-2","176","","","30","0","selected-pokemon","normal","The user changes its type to make itself resistant to
the type of the attack the opponent used last.","status","generation-ii"
"aeroblast","177","95","100","5","0","selected-pokemon","flying","A vortex of air is shot at the target to inflict damage.
Critical hits land more easily.","special","generation-ii"
"cotton-spore","178","100","","40","0","all-opponents","grass","The user releases cotton-like spores
that cling to the opposing Pokémon,
which harshly lowers their Speed stats.","status","generation-ii"
"reversal","179","100","","15","0","selected-pokemon","fighting","An all-out attack
that becomes more
powerful the less
HP the user has.
","physical","generation-ii"
"spite","180","100","","10","0","selected-pokemon","ghost","The user unleashes its grudge on the move last used
by the target by cutting 4 PP from it.","status","generation-ii"
"powder-snow","181","100","40","25","0","all-opponents","ice","The user attacks with a chilling gust of powdery
snow. This may also freeze the opposing Pokémon.","special","generation-ii"
"protect","182","","","10","4","user","normal","It enables the user to evade all attacks.
Its chance of failing rises if it is used in
succession.","status","generation-ii"
"mach-punch","183","100","40","30","1","selected-pokemon","fighting","The user throws a punch at blinding
speed. It is certain to strike first.","physical","generation-ii"
"scary-face","184","100","","10","0","selected-pokemon","normal","The user frightens the target with a scary
face to harshly reduce its Speed stat.","status","generation-ii"
"feint-attack","185","","60","20","0","selected-pokemon","dark","The user approaches the target disarmingly, then
throws a sucker punch. This attack never misses.","physical","generation-ii"
"sweet-kiss","186","75","","10","0","selected-pokemon","fairy","The user kisses the target with a sweet, angelic
cuteness that causes confusion.","status","generation-ii"
"belly-drum","187","","","10","0","user","normal","The user maximizes its Attack stat in exchange for
HP equal to half its max HP.","status","generation-ii"
"sludge-bomb","188","100","90","10","0","selected-pokemon","poison","The user attacks by
hurling filthy sludge
at the foe.
It may also poison
the target.","special","generation-ii"
"mud-slap","189","100","20","10","0","selected-pokemon","ground","The user hurls mud in the target’s face to inflict
damage and lower its accuracy.","special","generation-ii"
"octazooka","190","85","65","10","0","selected-pokemon","water","The user attacks by spraying ink in the target’s face
or eyes. This may also lower the target’s accuracy.","special","generation-ii"
"spikes","191","","","20","0","opponents-field","ground","The user lays a trap of spikes at the opposing
team’s feet. The trap hurts Pokémon that switch
into battle.","status","generation-ii"
"zap-cannon","192","50","120","5","0","selected-pokemon","electric","The user fires an electric blast like a cannon to inflict
damage and cause paralysis.","special","generation-ii"
"foresight","193","","","40","0","selected-pokemon","normal","Enables a Ghost-type target to be hit by Normal-
and Fighting-type attacks. This also enables an
evasive target to be hit.","status","generation-ii"
"destiny-bond","194","","","5","0","user","ghost","After using this move, if the user faints, the
Pokémon that landed the knockout hit also faints.
Its chance of failing rises if it is used in succession.","status","generation-ii"
"perish-song","195","","","5","0","all-pokemon","normal","Any Pokémon that hears this song faints in three
turns, unless it switches out of battle.","status","generation-ii"
"icy-wind","196","95","55","15","0","all-opponents","ice","The user attacks with a gust of chilled air. This also
lowers the opposing Pokémon’s Speed stats.","special","generation-ii"
"detect","197","","","5","4","user","fighting","It enables the user to evade all attacks.
Its chance of failing rises if it is used
in succession.","status","generation-ii"
"bone-rush","198","90","25","10","0","selected-pokemon","ground","The user strikes at
the foe with a hard
bone two to five
times in a row.
","physical","generation-ii"
"lock-on","199","","","5","0","selected-pokemon","normal","The user takes sure aim at the target.
It ensures the next attack does not fail
to hit the target.","status","generation-ii"
"outrage","200","100","120","10","0","random-opponent","dragon","The user rampages and attacks for two
to three turns.
It then becomes confused, however.","physical","generation-ii"
"sandstorm","201","","","10","0","entire-field","rock","A five-turn sandstorm is summoned to hurt all
combatants except the Rock, Ground, and
Steel types. It raises the Sp. Def stat of Rock types.","status","generation-ii"
"giga-drain","202","100","75","10","0","selected-pokemon","grass","A nutrient-draining attack. The user’s HP is restored
by half the damage taken by the target.","special","generation-ii"
"endure","203","","","10","4","user","normal","The user endures any attack with at least 1 HP.
Its chance of failing rises if it is used in succession.","status","generation-ii"
"charm","204","100","","20","0","selected-pokemon","fairy","The user gazes at the target rather
charmingly, making it less wary.
The target’s Attack is harshly lowered.","status","generation-ii"
"rollout","205","90","30","20","0","selected-pokemon","rock","The user continually rolls into the target over five
turns. It becomes more powerful each time it hits.","physical","generation-ii"
"false-swipe","206","100","40","40","0","selected-pokemon","normal","A restrained attack that prevents the target from
fainting. The target is left with at least 1 HP.","physical","generation-ii"
"swagger","207","85","","15","0","selected-pokemon","normal","The user enrages and confuses the target. However,
this also sharply raises the target’s Attack stat.","status","generation-ii"
"milk-drink","208","","","10","0","user","normal","The user restores its own HP
by up to half of its maximum HP.
May also be used in the field to heal HP.","status","generation-ii"
"spark","209","100","65","20","0","selected-pokemon","electric","The user throws an electrically charged tackle at the
target. This may also leave the target with paralysis.","physical","generation-ii"
"fury-cutter","210","95","40","20","0","selected-pokemon","bug","The target is slashed with scythes or claws. This
attack becomes more powerful if it hits
in succession.","physical","generation-ii"
