"name","number","description","height","weight","types","abilities","evolution","legendary","mythical","baby","capture","habitat","generation","sprite","shiny"
"pikachu","25","When it smashes its opponents with its bolt-
shaped tail, it delivers a surge of electricity
equivalent to a lightning strike.","4","60","electric","static|lightning-rod","pichu|pikachu|raichu","False","False","False","190","forest","generation-i","https://projectpokemon.org/images/normal-sprite/pikachu.gif","https://projectpokemon.org/images/shiny-sprite/pikachu.gif"
"raichu","26","This Pokémon rides on its tail while it uses
its psychic powers to levitate. It attacks with
star-shaped thunderbolts.","8","300","electric","static|lightning-rod","pichu|pikachu|raichu","False","False","False","75","forest","generation-i","https://projectpokemon.org/images/normal-sprite/raichu.gif","https://projectpokemon.org/images/shiny-sprite/raichu.gif"
"sandshrew","27","It lives in snowy mountains on southern islands.
When a blizzard rolls in, this Pokémon hunkers
down in the snow to avoid getting blown away.","6","120","ground","sand-veil|sand-rush","sandshrew|sandslash","False","False","False","255","rough-terrain","generation-i","https://projectpokemon.org/images/normal-sprite/sandshrew.gif","https://projectpokemon.org/images/shiny-sprite/sandshrew.gif"
"sandslash","28","Many people climb snowy mountains, hoping to
see the icy spikes of these Pokémon glistening
in the light of dawn.","10","295","ground","sand-veil|sand-rush","sandshrew|sandslash","False","False","False","90","rough-terrain","generation-i","https://projectpokemon.org/images/normal-sprite/sandslash.gif","https://projectpokemon.org/images/shiny-sprite/sandslash.gif"
"nidoran-f","29","A mild-mannered Pokémon that does not like
to fight. Beware—its small horn secretes venom.","4","70","poison","poison-point|rivalry|hustle","nidoran-f|nidorina|nidoqueen","False","False","False","235","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/nidoran-f.gif","https://projectpokemon.org/images/shiny-sprite/nidoran-f.gif"
"nidorina","30","When resting deep in its burrow, its barbs always
retract. This is proof that it is relaxed.","8","200","poison","poison-point|rivalry|hustle","nidoran-f|nidorina|nidoqueen","False","False","False","120","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/nidorina.gif","https://projectpokemon.org/images/shiny-sprite/nidorina.gif"
"nidoqueen","31","Tough scales cover the sturdy body of
this Pokémon. It appears that the scales
grow in cycles.","13","600","poison|ground","poison-point|rivalry|sheer-force","nidoran-f|nidorina|nidoqueen","False","False","False","45","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/nidoqueen.gif","https://projectpokemon.org/images/shiny-sprite/nidoqueen.gif"
"nidoran-m","32","Its large ears are always kept upright. If it senses
danger, it will attack with a poisonous sting.","5","90","poison","poison-point|rivalry|hustle","nidoran-m|nidorino|nidoking","False","False","False","235","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/nidoran-m.gif","https://projectpokemon.org/images/shiny-sprite/nidoran-m.gif"
"nidorino","33","Its horn contains venom. If it stabs an
enemy with the horn, the impact makes
the poison leak out.","9","195","poison","poison-point|rivalry|hustle","nidoran-m|nidorino|nidoking","False","False","False","120","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/nidorino.gif","https://projectpokemon.org/images/shiny-sprite/nidorino.gif"
"nidoking","34","Its steel-like hide adds to its powerful tackle.
Its horns are so hard, they can pierce a diamond.","14","620","poison|ground","poison-point|rivalry|sheer-force","nidoran-m|nidorino|nidoking","False","False","False","45","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/nidoking.gif","https://projectpokemon.org/images/shiny-sprite/nidoking.gif"
"clefairy","35","Its adorable behavior and cry make it highly popular.
However, this cute Pokémon is rarely found.","6","75","fairy","cute-charm|magic-guard|friend-guard","cleffa|clefairy|clefable","False","False","False","150","mountain","generation-i","https://projectpokemon.org/images/normal-sprite/clefairy.gif","https://projectpokemon.org/images/shiny-sprite/clefairy.gif"
"clefable","36","Their ears are sensitive enough to hear a pin
drop from over a mile away, so they’re usually
found in quiet places.","13","400","fairy","cute-charm|magic-guard|unaware","cleffa|clefairy|clefable","False","False","False","25","mountain","generation-i","https://projectpokemon.org/images/normal-sprite/clefable.gif","https://projectpokemon.org/images/shiny-sprite/clefable.gif"
"vulpix","37","If you observe its curly hairs through
a microscope, you’ll see small ice
particles springing up.","6","99","fire","flash-fire|drought","vulpix|ninetales","False","False","False","190","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/vulpix.gif","https://projectpokemon.org/images/shiny-sprite/vulpix.gif"
"ninetales","38","While it will guide travelers who get lost on a
snowy mountain down to the mountain’s base,
it won’t forgive anyone who harms nature.","11","199","fire","flash-fire|drought","vulpix|ninetales","False","False","False","75","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/ninetales.gif","https://projectpokemon.org/images/shiny-sprite/ninetales.gif"
"jigglypuff","39","By freely changing the wavelength of its voice,
Jigglypuff sings a mysterious melody sure to
make any listener sleepy.","5","55","normal|fairy","cute-charm|competitive|friend-guard","igglybuff|jigglypuff|wigglytuff","False","False","False","170","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/jigglypuff.gif","https://projectpokemon.org/images/shiny-sprite/jigglypuff.gif"
"wigglytuff","40","It’s proud of its fur, which is fine and delicate.
In particular, the curl on its forehead has a
texture that’s perfectly heavenly.","10","120","normal|fairy","cute-charm|competitive|frisk","igglybuff|jigglypuff|wigglytuff","False","False","False","50","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/wigglytuff.gif","https://projectpokemon.org/images/shiny-sprite/wigglytuff.gif"
"zubat","41","Emits ultrasonic cries while it flies. They act as
a sonar used to check for objects in its way.","8","75","poison|flying","inner-focus|infiltrator","zubat|golbat|crobat","False","False","False","255","cave","generation-i","https://projectpokemon.org/images/normal-sprite/zubat.gif","https://projectpokemon.org/images/shiny-sprite/zubat.gif"
"golbat","42","It attacks in a stealthy manner,
without warning. Its sharp fangs
are used to bite and to suck blood.","16","550","poison|flying","inner-focus|infiltrator","zubat|golbat|crobat","False","False","False","90","cave","generation-i","https://projectpokemon.org/images/normal-sprite/golbat.gif","https://projectpokemon.org/images/shiny-sprite/golbat.gif"
"oddish","43","During the day, it stays in the cold underground
to avoid the sun. It grows by bathing in moonlight.","5","54","grass|poison","chlorophyll|run-away","oddish|gloom|vileplume","False","False","False","255","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/oddish.gif","https://projectpokemon.org/images/shiny-sprite/oddish.gif"
"gloom","44","What appears to be drool is actually sweet honey.
It is very sticky and clings stubbornly if touched.","8","86","grass|poison","chlorophyll|stench","oddish|gloom|vileplume","False","False","False","120","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/gloom.gif","https://projectpokemon.org/images/shiny-sprite/gloom.gif"
"vileplume","45","The larger its petals, the more toxic pollen it
contains. Its big head is heavy and hard to hold up.","12","186","grass|poison","chlorophyll|effect-spore","oddish|gloom|vileplume","False","False","False","45","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/vileplume.gif","https://projectpokemon.org/images/shiny-sprite/vileplume.gif"
"paras","46","Burrows under the ground to gnaw on
tree roots. The mushrooms on its back
absorb most of the nutrition.","3","54","bug|grass","effect-spore|dry-skin|damp","paras|parasect","False","False","False","190","forest","generation-i","https://projectpokemon.org/images/normal-sprite/paras.gif","https://projectpokemon.org/images/shiny-sprite/paras.gif"
"parasect","47","The bug host is drained of energy by
the mushroom on its back. The mushroom
appears to do all the thinking.","10","295","bug|grass","effect-spore|dry-skin|damp","paras|parasect","False","False","False","75","forest","generation-i","https://projectpokemon.org/images/normal-sprite/parasect.gif","https://projectpokemon.org/images/shiny-sprite/parasect.gif"
"venonat","48","Its large eyes act as radar. In a bright place, you
can see that they are clusters of many tiny eyes.","10","300","bug|poison","compound-eyes|tinted-lens|run-away","venonat|venomoth","False","False","False","190","forest","generation-i","https://projectpokemon.org/images/normal-sprite/venonat.gif","https://projectpokemon.org/images/shiny-sprite/venonat.gif"
"venomoth","49","The powdery scales on its wings are hard to
remove from skin. They also contain poison
that leaks out on contact.","15","125","bug|poison","shield-dust|tinted-lens|wonder-skin","venonat|venomoth","False","False","False","75","forest","generation-i","https://projectpokemon.org/images/normal-sprite/venomoth.gif","https://projectpokemon.org/images/shiny-sprite/venomoth.gif"
"diglett","50","Its three hairs change shape depending on
Diglett’s mood. They’re a useful communication
tool among these Pokémon.","2","8","ground","sand-veil|arena-trap|sand-force","diglett|dugtrio","False","False","False","255","cave","generation-i","https://projectpokemon.org/images/normal-sprite/diglett.gif","https://projectpokemon.org/images/shiny-sprite/diglett.gif"
"dugtrio","51","These Diglett triplets dig over 60 miles below sea
level. No one knows what it’s like underground.","7","333","ground","sand-veil|arena-trap|sand-force","diglett|dugtrio","False","False","False","50","cave","generation-i","https://projectpokemon.org/images/normal-sprite/dugtrio.gif","https://projectpokemon.org/images/shiny-sprite/dugtrio.gif"
"meowth","52","These daring Pokémon have coins on their
foreheads. Darker coins are harder, and harder
coins garner more respect among Meowth.","4","42","normal","pickup|technician|unnerve","meowth|persian","False","False","False","255","urban","generation-i","https://projectpokemon.org/images/normal-sprite/meowth.gif","https://projectpokemon.org/images/shiny-sprite/meowth.gif"
"persian","53","This Pokémon is one tough opponent. Not only
does it have formidable physical abilities, but it’s
also not above fighting dirty.","10","320","normal","limber|technician|unnerve","meowth|persian","False","False","False","90","urban","generation-i","https://projectpokemon.org/images/normal-sprite/persian.gif","https://projectpokemon.org/images/shiny-sprite/persian.gif"
"psyduck","54","As Psyduck gets stressed out, its headache gets
progressively worse. It uses intense psychic
energy to overwhelm those around it.","8","196","water","damp|cloud-nine|swift-swim","psyduck|golduck","False","False","False","190","waters-edge","generation-i","https://projectpokemon.org/images/normal-sprite/psyduck.gif","https://projectpokemon.org/images/shiny-sprite/psyduck.gif"
"golduck","55","Old tales tell of Golduck punishing those that
defiled its river. The guilty were dragged into
the water and taken away.","17","766","water","damp|cloud-nine|swift-swim","psyduck|golduck","False","False","False","75","waters-edge","generation-i","https://projectpokemon.org/images/normal-sprite/golduck.gif","https://projectpokemon.org/images/shiny-sprite/golduck.gif"
"mankey","56","An agile Pokémon that lives in trees. It angers
easily and will not hesitate to attack anything.","5","280","fighting","vital-spirit|anger-point|defiant","mankey|primeape","False","False","False","190","mountain","generation-i","https://projectpokemon.org/images/normal-sprite/mankey.gif","https://projectpokemon.org/images/shiny-sprite/mankey.gif"
"primeape","57","It stops being angry only when nobody else
is around. To view this moment is very difficult.","10","320","fighting","vital-spirit|anger-point|defiant","mankey|primeape","False","False","False","75","mountain","generation-i","https://projectpokemon.org/images/normal-sprite/primeape.gif","https://projectpokemon.org/images/shiny-sprite/primeape.gif"
"growlithe","58","Extremely loyal, it will fearlessly bark at any
opponent to protect its own Trainer from harm.","7","190","fire","intimidate|flash-fire|justified","growlithe|arcanine","False","False","False","190","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/growlithe.gif","https://projectpokemon.org/images/shiny-sprite/growlithe.gif"
"arcanine","59","A Pokémon that has long been admired for its
beauty. It runs agilely as if on wings.","19","1550","fire","intimidate|flash-fire|justified","growlithe|arcanine","False","False","False","75","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/arcanine.gif","https://projectpokemon.org/images/shiny-sprite/arcanine.gif"
"poliwag","60","In rivers with fast-flowing water, this Pokémon will
cling to a rock by using its thick lips, which act
like a suction cup.","6","124","water","water-absorb|damp|swift-swim","poliwag|poliwhirl|poliwrath","False","False","False","255","waters-edge","generation-i","https://projectpokemon.org/images/normal-sprite/poliwag.gif","https://projectpokemon.org/images/shiny-sprite/poliwag.gif"
"poliwhirl","61","This Pokémon’s sweat is a slimy mucus. When
captured, Poliwhirl can slither from its enemies’
grasp and escape.","10","200","water","water-absorb|damp|swift-swim","poliwag|poliwhirl|poliwrath","False","False","False","120","waters-edge","generation-i","https://projectpokemon.org/images/normal-sprite/poliwhirl.gif","https://projectpokemon.org/images/shiny-sprite/poliwhirl.gif"
"poliwrath","62","Poliwrath is skilled at both swimming and martial
arts. It uses its well-trained arms to dish out
powerful punches.","13","540","water|fighting","water-absorb|damp|swift-swim","poliwag|poliwhirl|poliwrath","False","False","False","45","waters-edge","generation-i","https://projectpokemon.org/images/normal-sprite/poliwrath.gif","https://projectpokemon.org/images/shiny-sprite/poliwrath.gif"
"abra","63","Abra can teleport in its sleep. Apparently
the more deeply Abra sleeps, the farther its
teleportations go.","9","195","psychic","synchronize|inner-focus|magic-guard","abra|kadabra|alakazam","False","False","False","200","urban","generation-i","https://projectpokemon.org/images/normal-sprite/abra.gif","https://projectpokemon.org/images/shiny-sprite/abra.gif"
"kadabra","64","This Pokémon’s telekinesis is immensely powerful.
To prepare for evolution, Kadabra stores up
psychic energy in the star on its forehead.","13","565","psychic","synchronize|inner-focus|magic-guard","abra|kadabra|alakazam","False","False","False","100","urban","generation-i","https://projectpokemon.org/images/normal-sprite/kadabra.gif","https://projectpokemon.org/images/shiny-sprite/kadabra.gif"
"alakazam","65","Alakazam wields potent psychic powers. It’s said
that this Pokémon used these powers to create
the spoons it holds.","15","480","psychic","synchronize|inner-focus|magic-guard","abra|kadabra|alakazam","False","False","False","50","urban","generation-i","https://projectpokemon.org/images/normal-sprite/alakazam.gif","https://projectpokemon.org/images/shiny-sprite/alakazam.gif"
"machop","66","Always brimming with power, it passes time by
lifting boulders. Doing so makes it even stronger.","8","195","fighting","guts|no-guard|steadfast","machop|machoke|machamp","False","False","False","180","mountain","generation-i","https://projectpokemon.org/images/normal-sprite/machop.gif","https://projectpokemon.org/images/shiny-sprite/machop.gif"
"machoke","67","Its formidable body never gets tired. It helps
people by doing work such as the moving of
heavy goods.","15","705","fighting","guts|no-guard|steadfast","machop|machoke|machamp","False","False","False","90","mountain","generation-i","https://projectpokemon.org/images/normal-sprite/machoke.gif","https://projectpokemon.org/images/shiny-sprite/machoke.gif"
"machamp","68","With four arms that react more quickly than it
can think, it can execute many punches at once.","16","1300","fighting","guts|no-guard|steadfast","machop|machoke|machamp","False","False","False","45","mountain","generation-i","https://projectpokemon.org/images/normal-sprite/machamp.gif","https://projectpokemon.org/images/shiny-sprite/machamp.gif"
"bellsprout","69","Prefers hot and humid places. It ensnares
tiny bugs with its vines and devours them.","7","40","grass|poison","chlorophyll|gluttony","bellsprout|weepinbell|victreebel","False","False","False","255","forest","generation-i","https://projectpokemon.org/images/normal-sprite/bellsprout.gif","https://projectpokemon.org/images/shiny-sprite/bellsprout.gif"
"weepinbell","70","When hungry, it swallows anything that moves.
Its hapless prey is dissolved by strong acids.","10","64","grass|poison","chlorophyll|gluttony","bellsprout|weepinbell|victreebel","False","False","False","120","forest","generation-i","https://projectpokemon.org/images/normal-sprite/weepinbell.gif","https://projectpokemon.org/images/shiny-sprite/weepinbell.gif"
"victreebel","71","Lures prey with the sweet aroma of honey.
Swallowed whole, the prey is dissolved in a day,
bones and all.","17","155","grass|poison","chlorophyll|gluttony","bellsprout|weepinbell|victreebel","False","False","False","45","forest","generation-i","https://projectpokemon.org/images/normal-sprite/victreebel.gif","https://projectpokemon.org/images/shiny-sprite/victreebel.gif"
"tentacool","72","This Pokémon is mostly made of water.
A Tentacool out in the ocean is very hard to
spot, because its body blends in with the sea.","9","455","water|poison","clear-body|liquid-ooze|rain-dish","tentacool|tentacruel","False","False","False","190","sea","generation-i","https://projectpokemon.org/images/normal-sprite/tentacool.gif","https://projectpokemon.org/images/shiny-sprite/tentacool.gif"
"tentacruel","73","Its 80 tentacles can stretch and shrink freely.
Tentacruel ensnares prey in a net of spread-out
tentacles, delivering venomous stings to its catch.","16","550","water|poison","clear-body|liquid-ooze|rain-dish","tentacool|tentacruel","False","False","False","60","sea","generation-i","https://projectpokemon.org/images/normal-sprite/tentacruel.gif","https://projectpokemon.org/images/shiny-sprite/tentacruel.gif"
"geodude","74","Its stone head is imbued with electricity and
magnetism. If you carelessly step on one,
you’ll be in for a painful shock.","4","200","rock|ground","rock-head|sturdy|sand-veil","geodude|graveler|golem","False","False","False","255","mountain","generation-i","https://projectpokemon.org/images/normal-sprite/geodude.gif","https://projectpokemon.org/images/shiny-sprite/geodude.gif"
"graveler","75","When it comes rolling down a mountain path,
anything in its way gets zapped by electricity
and sent flying.","10","1050","rock|ground","rock-head|sturdy|sand-veil","geodude|graveler|golem","False","False","False","120","mountain","generation-i","https://projectpokemon.org/images/normal-sprite/graveler.gif","https://projectpokemon.org/images/shiny-sprite/graveler.gif"
"golem","76","Once it sheds its skin, its body turns tender
and whitish. Its hide hardens when it’s
exposed to air.","14","3000","rock|ground","rock-head|sturdy|sand-veil","geodude|graveler|golem","False","False","False","45","mountain","generation-i","https://projectpokemon.org/images/normal-sprite/golem.gif","https://projectpokemon.org/images/shiny-sprite/golem.gif"
"ponyta","77","This Pokémon will look into your eyes and read
the contents of your heart. If it finds evil there,
it promptly hides away.","10","300","fire","run-away|flash-fire|flame-body","ponyta|rapidash","False","False","False","190","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/ponyta.gif","https://projectpokemon.org/images/shiny-sprite/ponyta.gif"
"rapidash","78","The fastest runner becomes the leader, and it
decides the herd’s pace and direction of travel.","17","950","fire","run-away|flash-fire|flame-body","ponyta|rapidash","False","False","False","60","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/rapidash.gif","https://projectpokemon.org/images/shiny-sprite/rapidash.gif"
"slowpoke","79","When this Pokémon’s tail is soaked in water,
sweetness seeps from it. Slowpoke uses this trait
to lure in and fish up other Pokémon.","12","360","water|psychic","oblivious|own-tempo|regenerator","slowpoke|slowbro","False","False","False","190","waters-edge","generation-i","https://projectpokemon.org/images/normal-sprite/slowpoke.gif","https://projectpokemon.org/images/shiny-sprite/slowpoke.gif"
"slowbro","80","If this Pokémon squeezes the tongue of the
Shellder biting it, the Shellder will launch a toxic
liquid from the tip of its shell.","16","785","water|psychic","oblivious|own-tempo|regenerator","slowpoke|slowbro","False","False","False","75","waters-edge","generation-i","https://projectpokemon.org/images/normal-sprite/slowbro.gif","https://projectpokemon.org/images/shiny-sprite/slowbro.gif"
"magnemite","81","It subsists on electricity. As Magnemite flies, it
emits electromagnetic waves from the units on
each side of its body.","3","60","electric|steel","magnet-pull|sturdy|analytic","magnemite|magneton|magnezone","False","False","False","190","rough-terrain","generation-i","https://projectpokemon.org/images/normal-sprite/magnemite.gif","https://projectpokemon.org/images/shiny-sprite/magnemite.gif"
"magneton","82","This Pokémon is constantly putting out a powerful
magnetic force. Most computers go haywire when
a Magneton approaches.","10","600","electric|steel","magnet-pull|sturdy|analytic","magnemite|magneton|magnezone","False","False","False","60","rough-terrain","generation-i","https://projectpokemon.org/images/normal-sprite/magneton.gif","https://projectpokemon.org/images/shiny-sprite/magneton.gif"
"farfetchd","83","They use a plant stalk as a weapon, but not all
of them use it in the same way. Several distinct
styles of stalk fighting have been observed.","8","150","normal|flying","keen-eye|inner-focus|defiant","farfetchd","False","False","False","45","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/farfetchd.gif","https://projectpokemon.org/images/shiny-sprite/farfetchd.gif"
"doduo","84","Its short wings make flying difficult. Instead, this
Pokémon runs at high speed on developed legs.","14","392","normal|flying","run-away|early-bird|tangled-feet","doduo|dodrio","False","False","False","190","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/doduo.gif","https://projectpokemon.org/images/shiny-sprite/doduo.gif"
"dodrio","85","One of Doduo’s two heads splits to form
a unique species. It runs close to 40 mph
in prairies.","18","852","normal|flying","run-away|early-bird|tangled-feet","doduo|dodrio","False","False","False","45","grassland","generation-i","https://projectpokemon.org/images/normal-sprite/dodrio.gif","https://projectpokemon.org/images/shiny-sprite/dodrio.gif"
"seel","86","Loves freezing-cold conditions.
Relishes swimming in a frigid climate
of around 14 degrees Fahrenheit.","11","900","water","thick-fat|hydration|ice-body","seel|dewgong","False","False","False","190","sea","generation-i","https://projectpokemon.org/images/normal-sprite/seel.gif","https://projectpokemon.org/images/shiny-sprite/seel.gif"
"dewgong","87","Its entire body is a snowy white. Unharmed by
even intense cold, it swims powerfully
in icy waters.","17","1200","water|ice","thick-fat|hydration|ice-body","seel|dewgong","False","False","False","75","sea","generation-i","https://projectpokemon.org/images/normal-sprite/dewgong.gif","https://projectpokemon.org/images/shiny-sprite/dewgong.gif"
"grimer","88","Made of congealed sludge. It smells too putrid
to touch. Even weeds won’t grow in its path.","9","300","poison","stench|sticky-hold|poison-touch","grimer|muk","False","False","False","190","urban","generation-i","https://projectpokemon.org/images/normal-sprite/grimer.gif","https://projectpokemon.org/images/shiny-sprite/grimer.gif"
